,holiday,ds
0,school_holiday,2018-01-01
1,school_holiday,2018-02-12
2,school_holiday,2018-02-13
3,school_holiday,2018-03-24
4,school_holiday,2018-03-29
5,school_holiday,2018-03-30
6,school_holiday,2018-04-02
7,school_holiday,2018-05-01
8,school_holiday,2018-05-25
9,school_holiday,2018-06-20
10,school_holiday,2018-07-09
11,school_holiday,2018-11-19
12,school_holiday,2018-12-08
13,school_holiday,2018-12-25
14,school_holiday,2018-06-17
15,school_holiday,2018-08-20
16,school_holiday,2018-10-15
17,school_holiday,2018-03-31
18,school_holiday,2018-04-01
19,school_holiday,2018-04-05
20,school_holiday,2018-04-06
21,school_holiday,2018-04-07
22,school_holiday,2018-04-24
23,school_holiday,2018-09-10
24,school_holiday,2018-09-11
25,school_holiday,2018-04-30
26,school_holiday,2018-12-24
27,school_holiday,2018-12-31
28,school_holiday,2019-01-01
29,school_holiday,2019-03-04
30,school_holiday,2019-03-05
31,school_holiday,2019-03-24
32,school_holiday,2019-04-02
33,school_holiday,2019-04-19
34,school_holiday,2019-05-01
35,school_holiday,2019-05-25
36,school_holiday,2019-06-20
37,school_holiday,2019-07-09
38,school_holiday,2019-11-18
39,school_holiday,2019-12-08
40,school_holiday,2019-12-25
41,school_holiday,2019-06-17
42,school_holiday,2019-08-17
43,school_holiday,2019-10-12
44,school_holiday,2019-04-18
45,school_holiday,2019-04-19
46,school_holiday,2019-04-20
47,school_holiday,2019-04-21
48,school_holiday,2019-04-24
49,school_holiday,2019-04-25
50,school_holiday,2019-04-26
51,school_holiday,2019-04-27
52,school_holiday,2019-06-04
53,school_holiday,2019-08-11
54,school_holiday,2019-08-31
55,school_holiday,2019-09-29
56,school_holiday,2019-09-30
57,school_holiday,2019-10-01
58,school_holiday,2019-10-08
59,school_holiday,2019-10-09
60,school_holiday,2019-07-08
61,school_holiday,2019-08-19
62,school_holiday,2019-10-14
